SE PSI DELTA
AOI	 75.7
SE 294.389	0.458438	-0.889853
SE 294.61	0.46186		-0.874614
SE 294.832	0.461535	-0.863759
SE 295.054	0.462835	-0.849155
SE 295.276	0.461807	-0.824538
SE 295.499	0.464186	-0.804082
SE 295.723	0.46727		-0.786507
SE 295.947	0.468795	-0.770414
SE 296.172	0.472529	-0.746364
SE 296.397	0.475134	-0.729543
SE 296.623	0.475946	-0.711846
SE 296.849	0.481001	-0.690144
SE 297.076	0.482706	-0.67455
SE 297.304	0.481408	-0.64729
SE 297.532	0.487731	-0.626468
SE 297.761	0.489203	-0.610633
SE 297.99	0.492591	-0.588688
SE 298.22	0.493648	-0.565069
SE 298.45	0.498992	-0.544854
SE 298.681	0.501118	-0.527487
SE 298.912	0.505658	-0.501137
SE 299.144	0.508689	-0.489573
SE 299.377	0.511185	-0.465515
SE 299.61	0.514104	-0.441779
SE 299.844	0.518806	-0.426068
SE 300.078	0.522915	-0.405397
SE 300.314	0.526834	-0.383188
SE 300.549	0.530946	-0.362274
SE 300.785	0.53549		-0.34565
SE 301.022	0.538004	-0.32483
SE 301.259	0.541484	-0.310894
SE 301.497	0.547055	-0.29399
SE 301.736	0.551631	-0.269193
SE 301.975	0.554759	-0.255482
SE 302.215	0.5606		-0.238815
SE 302.456	0.561846	-0.219635
SE 302.697	0.567597	-0.206385
SE 302.938	0.5732		-0.189828
SE 303.181	0.576051	-0.171131
SE 303.424	0.579612	-0.155765
SE 303.667	0.585413	-0.139231
SE 303.911	0.589899	-0.124502
SE 304.156	0.593327	-0.107665
SE 304.402	0.596722	-0.0965857
SE 304.648	0.600769	-0.0793081
SE 304.894	0.605585	-0.0646014
SE 305.142	0.609822	-0.0499111
SE 305.39	0.615077	-0.0399469
SE 305.638	0.619515	-0.0242342
SE 305.888	0.621938	-0.0119316
SE 306.138	0.627997	0.00146878
SE 306.388	0.631275	0.0114996
SE 306.64	0.635816	0.0235769
SE 306.892	0.641138	0.0376987
SE 307.144	0.644436	0.0493613
SE 307.398	0.648018	0.0610111
SE 307.652	0.652154	0.0729011
SE 307.906	0.658419	0.0840713
SE 308.162	0.662686	0.0947147
SE 308.418	0.664713	0.103798
SE 308.674	0.670744	0.11431
SE 308.932	0.674892	0.12495
SE 309.19	0.677543	0.135317
SE 309.449	0.681997	0.142394
SE 309.708	0.684928	0.152916
SE 309.969	0.690839	0.161854
SE 310.229	0.695658	0.171804
SE 310.491	0.700095	0.180343
SE 310.753	0.703865	0.186728
SE 311.016	0.710319	0.193856
SE 311.28	0.712817	0.205846
SE 311.545	0.716073	0.209603
SE 311.81	0.721925	0.216707
SE 312.076	0.726978	0.225927
SE 312.343	0.729052	0.230823
SE 312.61	0.733257	0.236731
SE 312.878	0.738823	0.244393
SE 313.147	0.744313	0.251546
SE 313.417	0.745482	0.256747
SE 313.687	0.751866	0.261269
SE 313.958	0.755397	0.267759
SE 314.23	0.759632	0.273491
SE 314.503	0.765756	0.278095
SE 314.776	0.769436	0.282674
SE 315.05	0.773665	0.289287
SE 315.325	0.77941		0.295147
SE 315.601	0.783796	0.297613
SE 315.878	0.787827	0.300724
SE 316.155	0.791558	0.304499
SE 316.433	0.796245	0.307074
SE 316.712	0.804307	0.31308
SE 316.991	0.807109	0.317474
SE 317.272	0.814041	0.317744
SE 317.553	0.818174	0.321336
