"Wavelength (nm)"; "Reflectance"
759; 0,338712
759,5; 0,338794
760; 0,33893
760,5; 0,339085
761; 0,339255
761,5; 0,339399
762; 0,33941
762,5; 0,339241
763; 0,338944
763,5; 0,338632
764; 0,338355
764,5; 0,338024
765; 0,33755
765,5; 0,336992
766; 0,336358
766,5; 0,335645
767; 0,334875
767,5; 0,334081
768; 0,333302
768,5; 0,332562
769; 0,331836
769,5; 0,3311
770; 0,330277
770,5; 0,32925
771; 0,328155
771,5; 0,327059
772; 0,325877
772,5; 0,324614
773; 0,323346
773,5; 0,322154
774; 0,32103
774,5; 0,319877
775; 0,318637
775,5; 0,317344
776; 0,315952
776,5; 0,314487
777; 0,313017
777,5; 0,311473
778; 0,309859
778,5; 0,308202
779; 0,306492
779,5; 0,304805
780; 0,303087
780,5; 0,301167
781; 0,299224
781,5; 0,297347
782; 0,295486
782,5; 0,293606
783; 0,291632
783,5; 0,289587
784; 0,287619
784,5; 0,285544
785; 0,283359
785,5; 0,281269
786; 0,279185
786,5; 0,277059
787; 0,274897
787,5; 0,272685
788; 0,270417
788,5; 0,268061
789; 0,265574
789,5; 0,263033
790; 0,260495
790,5; 0,257955
791; 0,25537
791,5; 0,252726
792; 0,250056
792,5; 0,247417
793; 0,244749
793,5; 0,241996
794; 0,239172
794,5; 0,236374
795; 0,233628
795,5; 0,230875
796; 0,228018
796,5; 0,225126
797; 0,222248
797,5; 0,219334
798; 0,21636
798,5; 0,213288
799; 0,210132
799,5; 0,207077
800; 0,204114
800,5; 0,201152
801; 0,198151
801,5; 0,195118
802; 0,192083
802,5; 0,189048
803; 0,185903
803,5; 0,182706
804; 0,179539
804,5; 0,176336
805; 0,173176
805,5; 0,170058
806; 0,166869
806,5; 0,163733
807; 0,160639
807,5; 0,157521
808; 0,154488
808,5; 0,151451
809; 0,148374
809,5; 0,145391
810; 0,142326
810,5; 0,139182
811; 0,136101
811,5; 0,132953
812; 0,129804
812,5; 0,126728
813; 0,123608
813,5; 0,120499
814; 0,117399
814,5; 0,114241
815; 0,111156
815,5; 0,108135
816; 0,105115
816,5; 0,102156
817; 0,099235
817,5; 0,096352
818; 0,093543
818,5; 0,090719
819; 0,087895
819,5; 0,085127
820; 0,08233
820,5; 0,079588
821; 0,076924
821,5; 0,074208
822; 0,071561
822,5; 0,068974
823; 0,066351
823,5; 0,063826
824; 0,061335
824,5; 0,058837
825; 0,056465
825,5; 0,05405
826; 0,051626
826,5; 0,049392
827; 0,047149
827,5; 0,044952
828; 0,042893
828,5; 0,040807
829; 0,038841
829,5; 0,036964
830; 0,034946
830,5; 0,033058
831; 0,031279
831,5; 0,02949
832; 0,027873
832,5; 0,026275
833; 0,024674
833,5; 0,023302
834; 0,021951
834,5; 0,020578
835; 0,019279
835,5; 0,018
836; 0,016821
836,5; 0,015773
837; 0,014749
837,5; 0,013819
838; 0,012996
838,5; 0,012227
839; 0,011521
839,5; 0,010866
840; 0,010246
840,5; 0,009671
841; 0,00917
841,5; 0,00876
842; 0,008424
842,5; 0,008096
843; 0,007848
843,5; 0,007732
844; 0,007661
844,5; 0,00767
845; 0,007734
845,5; 0,007811
846; 0,00805
846,5; 0,008373
847; 0,00869
847,5; 0,009131
848; 0,009616
848,5; 0,01014
849; 0,010784
849,5; 0,011406
850; 0,012063
850,5; 0,012835
851; 0,013605
851,5; 0,014454
852; 0,015408
852,5; 0,01639
853; 0,017461
853,5; 0,018588
854; 0,019731
854,5; 0,020965
855; 0,022228
855,5; 0,023512
856; 0,024899
856,5; 0,02634
857; 0,027834
857,5; 0,029394
858; 0,030977
858,5; 0,032644
859; 0,034379
859,5; 0,036082
860; 0,037828
860,5; 0,039624
861; 0,041438
861,5; 0,043305
862; 0,045147
862,5; 0,046993
863; 0,04899
863,5; 0,051039
864; 0,053134
864,5; 0,0553
865; 0,057445
865,5; 0,059665
866; 0,061961
866,5; 0,064185
867; 0,066416
867,5; 0,06865
868; 0,070868
868,5; 0,073184
869; 0,075529
869,5; 0,07786
870; 0,080236
870,5; 0,082638
871; 0,085042
871,5; 0,087442
872; 0,089838
872,5; 0,092255
873; 0,094697
873,5; 0,09714
874; 0,099589
874,5; 0,102038
875; 0,104501
875,5; 0,107039
876; 0,109575
876,5; 0,112083
877; 0,114634
877,5; 0,117163
878; 0,119699
878,5; 0,122277
879; 0,124807
879,5; 0,12733
880; 0,129867
880,5; 0,132376
881; 0,134906
881,5; 0,137453
882; 0,140001
882,5; 0,142576
883; 0,145109
883,5; 0,147595
884; 0,150102
884,5; 0,152583
885; 0,155069
885,5; 0,157577
886; 0,160007
886,5; 0,16242
887; 0,164855
887,5; 0,167282
888; 0,169711
888,5; 0,172129
889; 0,17454
889,5; 0,176978
890; 0,17939
890,5; 0,181766
891; 0,184145
891,5; 0,186482
892; 0,188835
892,5; 0,191209
893; 0,193473
893,5; 0,19572
894; 0,198002
894,5; 0,200293
895; 0,202624
895,5; 0,204934
896; 0,207168
896,5; 0,209371
897; 0,211598
897,5; 0,213828
898; 0,215996
898,5; 0,2181
899; 0,220169
899,5; 0,222229
900; 0,224276
900,5; 0,226262
901; 0,22819
901,5; 0,230103
902; 0,23203
902,5; 0,233899
903; 0,235673
903,5; 0,237423
904; 0,239257
904,5; 0,241146
905; 0,242999
905,5; 0,244803
906; 0,246557
906,5; 0,248318
907; 0,250167
907,5; 0,252041
908; 0,253861
908,5; 0,255614
909; 0,257363
909,5; 0,259104
910; 0,260831
910,5; 0,262542
911; 0,264186
911,5; 0,265726
912; 0,267179
912,5; 0,268607
913; 0,270015
913,5; 0,271387
914; 0,272716
914,5; 0,274025
915; 0,275341
915,5; 0,276687
916; 0,278068
916,5; 0,279438
917; 0,280777
917,5; 0,282101
918; 0,283426
918,5; 0,284714
919; 0,285941
919,5; 0,287122
920; 0,288251
920,5; 0,289314
921; 0,290317
921,5; 0,291298
922; 0,292269
922,5; 0,293244
923; 0,294248
923,5; 0,295286
924; 0,296323
924,5; 0,29734
925; 0,298371
925,5; 0,299392
926; 0,3004
926,5; 0,3014
927; 0,302343
927,5; 0,303235
928; 0,304087
928,5; 0,304895
929; 0,305692
929,5; 0,306505
930; 0,307331
930,5; 0,308129
931; 0,308864
931,5; 0,309553
932; 0,310238
932,5; 0,310863
933; 0,311461
933,5; 0,312041
934; 0,312504
934,5; 0,312891
935; 0,313267
935,5; 0,31368
936; 0,314152
936,5; 0,31459
937; 0,314931
937,5; 0,315229
938; 0,315541
938,5; 0,315905
939; 0,316294
939,5; 0,316612
940; 0,316845
940,5; 0,317041
941; 0,317269
941,5; 0,317597
942; 0,317909
942,5; 0,318118
943; 0,318328
943,5; 0,318576
944; 0,318856
944,5; 0,319129
945; 0,319318
945,5; 0,31939
946; 0,319372
946,5; 0,31935
947; 0,319403
947,5; 0,319457
948; 0,319407
948,5; 0,31929
949; 0,319145
949,5; 0,318992
950; 0,318848
950,5; 0,318767
951; 0,318681
951,5; 0,31849
952; 0,318163
952,5; 0,317784
953; 0,31746
953,5; 0,317236
954; 0,317046
954,5; 0,316833
955; 0,316559
955,5; 0,316213
956; 0,315838
956,5; 0,315531
957; 0,315288
957,5; 0,314933
958; 0,314525
958,5; 0,314079
959; 0,31355
959,5; 0,313026
960; 0,312604
960,5; 0,312273
961; 0,311898
961,5; 0,311381
962; 0,310814
962,5; 0,310312
963; 0,309819
963,5; 0,309338
964; 0,308826
964,5; 0,308188
965; 0,30743
965,5; 0,30672
966; 0,306138
966,5; 0,305551
967; 0,304913
967,5; 0,30419
968; 0,303392
968,5; 0,302627
969; 0,301903
969,5; 0,301189
970; 0,300459
970,5; 0,299704
971; 0,298875
971,5; 0,29799
972; 0,297153
972,5; 0,296272
973; 0,295296
973,5; 0,294276
974; 0,29329
974,5; 0,292176
975; 0,290963
975,5; 0,289872
976; 0,28876
976,5; 0,287598
977; 0,28649
977,5; 0,285534
978; 0,284596
978,5; 0,283569
979; 0,282525
979,5; 0,28167
980; 0,280678
980,5; 0,27948
981; 0,278377
981,5; 0,277219
982; 0,275937
982,5; 0,274624
983; 0,273405
983,5; 0,272187
984; 0,270941
984,5; 0,269701
985; 0,268444
985,5; 0,267229
986; 0,26603
986,5; 0,264756
987; 0,26348
987,5; 0,262174
988; 0,260855
988,5; 0,259635
989; 0,258242
989,5; 0,256679
990; 0,255127
990,5; 0,253555
991; 0,252063
991,5; 0,250634
992; 0,249144
992,5; 0,247682
993; 0,246115
993,5; 0,244431
994; 0,242894
994,5; 0,241415
995; 0,239933
995,5; 0,238408
996; 0,236725
996,5; 0,235024
997; 0,23334
997,5; 0,231635
998; 0,230142
998,5; 0,228645
999; 0,226993
999,5; 0,225358
1000; 0,223614
