"Wavelength (nm)"	"Reflectance"
726,5	0,334765
727	0,334836
727,5	0,334908
728	0,334971
728,5	0,335019
729	0,335055
729,5	0,335076
730	0,335073
730,5	0,335032
731	0,334947
731,5	0,334814
732	0,33463
732,5	0,334432
733	0,334236
733,5	0,334014
734	0,333754
734,5	0,333489
735	0,33325
735,5	0,332982
736	0,332709
736,5	0,332471
737	0,332247
737,5	0,331943
738	0,331581
738,5	0,331295
739	0,330995
739,5	0,330624
740	0,330215
740,5	0,329842
741	0,329444
741,5	0,328984
742	0,328567
742,5	0,328233
743	0,327875
743,5	0,327347
744	0,326823
744,5	0,326327
745	0,325768
745,5	0,325208
746	0,324676
746,5	0,324136
747	0,323512
747,5	0,322798
748	0,322092
748,5	0,321507
749	0,320904
749,5	0,320248
750	0,319581
750,5	0,318852
751	0,31812
751,5	0,317443
752	0,316781
752,5	0,316122
753	0,315447
753,5	0,31472
754	0,313932
754,5	0,313136
755	0,31238
755,5	0,311614
756	0,310733
756,5	0,309793
757	0,309018
757,5	0,308208
758	0,307262
758,5	0,306312
759	0,305458
759,5	0,304608
760	0,303659
760,5	0,302733
761	0,301922
761,5	0,301135
762	0,300169
762,5	0,299246
763	0,298418
763,5	0,29752
764	0,296507
764,5	0,295507
765	0,294594
765,5	0,293597
766	0,292483
766,5	0,291353
767	0,290331
767,5	0,289304
768	0,288258
768,5	0,287271
769	0,286317
769,5	0,285296
770	0,284155
770,5	0,282975
771	0,28188
771,5	0,280805
772	0,27959
772,5	0,278402
773	0,277272
773,5	0,276125
774	0,274975
774,5	0,273818
775	0,272674
775,5	0,271576
776	0,270414
776,5	0,269188
777	0,267991
777,5	0,266764
778	0,265486
778,5	0,264163
779	0,262791
779,5	0,261457
780	0,260208
780,5	0,258985
781	0,257682
781,5	0,256349
782	0,255077
782,5	0,253763
783	0,252449
783,5	0,251196
784	0,249958
784,5	0,248643
785	0,247243
785,5	0,245837
786	0,244509
786,5	0,243223
787	0,241929
787,5	0,240672
788	0,239372
788,5	0,237981
789	0,23656
789,5	0,235166
790	0,233803
