SE ALPHA BETA
AOI	 71.5921
A	 -24.9788
SE 634.523	0.52284	-0.397653
SE 635.187	0.516534	-0.397781
SE 635.852	0.512065	-0.398283
SE 636.516	0.505789	-0.39904
SE 637.18	0.501144	-0.398085
SE 637.844	0.495674	-0.398248
SE 638.508	0.488844	-0.398034
SE 639.173	0.485324	-0.397857
SE 639.837	0.480306	-0.398242
SE 640.501	0.474118	-0.396729
SE 641.165	0.468193	-0.395193
SE 641.829	0.462979	-0.397102
SE 642.493	0.458338	-0.397031
SE 643.157	0.452928	-0.396869
SE 643.82	0.448291	-0.395538
SE 644.484	0.44287	-0.393858
SE 645.148	0.43797	-0.393984
SE 645.812	0.434139	-0.393735
SE 646.476	0.427092	-0.392387
SE 647.139	0.421398	-0.392858
SE 647.803	0.417095	-0.391872
SE 648.467	0.411487	-0.390927
SE 649.13	0.405396	-0.390649
SE 649.794	0.402167	-0.388851
SE 650.457	0.397892	-0.388238
SE 651.121	0.391578	-0.386888
SE 651.785	0.3869	-0.385856
SE 652.448	0.381333	-0.385853
SE 653.111	0.37572	-0.384343
SE 653.775	0.371341	-0.384111
SE 654.438	0.365239	-0.38252
SE 655.102	0.359334	-0.381395
SE 655.765	0.357021	-0.3798
SE 656.428	0.350875	-0.377509
SE 657.091	0.346902	-0.37748
SE 657.755	0.342271	-0.376956
SE 658.418	0.337159	-0.374381
SE 659.081	0.33226	-0.376897
SE 659.744	0.327848	-0.372632
SE 660.407	0.32232	-0.374118
SE 661.07	0.317169	-0.370297
SE 661.733	0.31262	-0.369364
SE 662.396	0.305994	-0.367124
SE 663.059	0.301035	-0.365494
SE 663.722	0.2963	-0.364302
SE 664.385	0.29403	-0.363879
SE 665.048	0.287659	-0.362139
SE 665.711	0.282183	-0.360133
SE 666.374	0.278831	-0.359972
SE 667.036	0.272083	-0.35714
SE 667.699	0.267646	-0.355455
SE 668.362	0.263007	-0.353031
SE 669.025	0.258425	-0.351962
SE 669.687	0.253344	-0.349819
SE 670.35	0.248181	-0.349656
SE 671.012	0.243542	-0.346314
SE 671.675	0.23786	-0.344218
SE 672.338	0.233948	-0.343301
SE 673	0.228377	-0.339598
SE 673.663	0.225019	-0.338137
SE 674.325	0.21947	-0.338799
SE 674.988	0.214072	-0.33528
SE 675.65	0.208917	-0.334433
SE 676.312	0.205397	-0.33181
SE 676.975	0.201483	-0.328983
SE 677.637	0.197703	-0.326392
SE 678.299	0.190802	-0.323254
SE 678.961	0.185116	-0.321904
SE 679.624	0.180362	-0.321412
SE 680.286	0.174665	-0.31784
SE 680.948	0.171912	-0.313833
SE 681.61	0.166511	-0.311911
SE 682.272	0.160267	-0.309926
SE 682.934	0.155586	-0.307564
SE 683.596	0.152818	-0.305243
SE 684.258	0.147995	-0.302791
SE 684.92	0.14335	-0.302368
SE 685.582	0.138808	-0.297818
SE 686.244	0.132907	-0.294328
SE 686.906	0.126591	-0.293332
SE 687.568	0.121196	-0.289905
SE 688.23	0.117006	-0.28971
SE 688.892	0.11161	-0.285897
SE 689.553	0.107942	-0.282998
SE 690.215	0.10341	-0.280884
SE 690.877	0.0980751	-0.279391
SE 691.539	0.0929697	-0.276366
SE 692.2	0.0879018	-0.273657
SE 692.862	0.0813501	-0.270501
SE 693.523	0.077102	-0.267772
SE 694.185	0.0737109	-0.265175
SE 694.847	0.0683096	-0.263074
SE 695.508	0.0630502	-0.261003
SE 696.17	0.0573192	-0.256726
SE 696.831	0.0519675	-0.253846
SE 697.492	0.0455366	-0.251126
SE 698.154	0.042629	-0.248108
SE 698.815	0.037217	-0.245968
SE 699.477	0.0318405	-0.243102
SE 700.138	0.0261886	-0.238235
SE 700.799	0.020976	-0.236582
SE 701.46	0.0158804	-0.232693
SE 702.122	0.012186	-0.232238
SE 702.783	0.00644382	-0.228554
SE 703.444	0.00156158	-0.225621
SE 704.105	-0.00459841	-0.223478
SE 704.766	-0.0086991	-0.220191
SE 705.428	-0.0123406	-0.218925
SE 706.089	-0.020486	-0.214886
SE 706.75	-0.0256605	-0.210469
SE 707.411	-0.0290095	-0.206821
SE 708.072	-0.0336771	-0.202061
SE 708.733	-0.0399354	-0.197291
SE 709.393	-0.0458964	-0.195637
SE 710.054	-0.052903	-0.193535
SE 710.715	-0.0573829	-0.189346
SE 711.376	-0.0588767	-0.18705
SE 712.037	-0.0656866	-0.183213
SE 712.698	-0.0710869	-0.17946
SE 713.358	-0.0763084	-0.175772
SE 714.019	-0.0823342	-0.173405
SE 714.68	-0.0854327	-0.170122
SE 715.341	-0.0920015	-0.165707
SE 716.001	-0.0972207	-0.160684
SE 716.662	-0.103766	-0.157679
SE 717.322	-0.107009	-0.155673
SE 717.983	-0.112387	-0.151109
SE 718.644	-0.117144	-0.149668
SE 719.304	-0.121633	-0.14549
SE 719.965	-0.127851	-0.13787
SE 720.625	-0.134358	-0.136529
SE 721.286	-0.140406	-0.134791
SE 721.946	-0.144385	-0.13029
SE 722.606	-0.150987	-0.128209
SE 723.267	-0.155587	-0.124453
SE 723.927	-0.162072	-0.120383
SE 724.587	-0.166131	-0.116034
SE 725.248	-0.171778	-0.111608
SE 725.908	-0.17944	-0.107472
SE 726.568	-0.185535	-0.102994
SE 727.228	-0.189632	-0.101758
SE 727.889	-0.193942	-0.0960328
SE 728.549	-0.199244	-0.0920539
SE 729.209	-0.202363	-0.0885744
SE 729.869	-0.208068	-0.0852913
SE 730.529	-0.214938	-0.0792324
SE 731.189	-0.221074	-0.0768769
SE 731.849	-0.225638	-0.0715279
SE 732.509	-0.231315	-0.0694269
SE 733.169	-0.236616	-0.0659506
SE 733.829	-0.241876	-0.0609349
SE 734.489	-0.246749	-0.058091
SE 735.149	-0.249279	-0.0550606
SE 735.809	-0.258079	-0.0525336
SE 736.468	-0.26326	-0.0491322
SE 737.128	-0.267374	-0.0441721
SE 737.788	-0.276233	-0.0383193
SE 738.448	-0.282357	-0.0332117
SE 739.108	-0.288018	-0.030762
SE 739.767	-0.293141	-0.0276093
SE 740.427	-0.297797	-0.0241451
SE 741.087	-0.302394	-0.0191849
SE 741.746	-0.309865	-0.0140768
SE 742.406	-0.312719	-0.00934765
SE 743.065	-0.317099	-0.00796985
SE 743.725	-0.323381	-0.00273968
SE 744.385	-0.329457	0.00217173
SE 745.044	-0.336653	0.00322296
SE 745.704	-0.343517	0.00862688
SE 746.363	-0.344211	0.0122512
SE 747.022	-0.351586	0.0192221
SE 747.682	-0.35617	0.0216488
SE 748.341	-0.364674	0.0244675
SE 749.001	-0.36994	0.03002
SE 749.66	-0.374839	0.0336999
SE 750.319	-0.379193	0.0367853
SE 750.978	-0.3871	0.0435234
SE 751.638	-0.391068	0.045194
SE 752.297	-0.394731	0.0478911
SE 752.956	-0.401219	0.0521859
SE 753.615	-0.405784	0.0552573
SE 754.275	-0.410304	0.0584281
SE 754.934	-0.418176	0.0619171
SE 755.593	-0.422443	0.0689223
SE 756.252	-0.428848	0.0723784
SE 756.911	-0.433375	0.0758092
SE 757.57	-0.43873	0.0804175
SE 758.229	-0.444048	0.0821929
SE 758.888	-0.448896	0.0879461
SE 759.547	-0.451951	0.0926467
SE 760.206	-0.460955	0.0953378
SE 760.865	-0.465559	0.0987649
SE 761.524	-0.47267	0.10268
SE 762.183	-0.477773	0.108753
SE 762.841	-0.487992	0.117313
